ABV_CUSTOMER_ID,SEGMENT_NAME,SEGMENT_VALUE,IREP_EMAIL_OPEN,NPP_TRANSACTION_TOUCHPOINTS,ISA_CALL_COUNT
911731,ONCOLOGY CLL DECILE GROUP,High,2,0,6
912366,ONCOLOGY CLL DECILE GROUP,High,0,167,7
912391,ONCOLOGY CLL DECILE GROUP,High,0,111,8
912510,ONCOLOGY CLL DECILE GROUP,High,19,0,10
913180,ONCOLOGY CLL DECILE GROUP,High,9,63,17
913466,ONCOLOGY CLL DECILE GROUP,High,20,54,6
21828,ONCOLOGY CLL DECILE GROUP,High,11,0,16
21925,ONCOLOGY CLL DECILE GROUP,High,2,237,9
22067,ONCOLOGY CLL DECILE GROUP,High,4,133,6
22090,ONCOLOGY CLL DECILE GROUP,High,15,236,21
22326,ONCOLOGY CLL DECILE GROUP,High,33,460,0
22686,ONCOLOGY CLL DECILE GROUP,High,16,83,3
23522,ONCOLOGY CLL DECILE GROUP,High,3,18,3
23886,ONCOLOGY CLL DECILE GROUP,High,11,166,11
24010,ONCOLOGY CLL DECILE GROUP,High,2,621,3
25551,ONCOLOGY CLL DECILE GROUP,High,0,0,1
25614,ONCOLOGY CLL DECILE GROUP,High,20,415,3
25822,ONCOLOGY CLL DECILE GROUP,High,1,20,29
29319,ONCOLOGY CLL DECILE GROUP,High,3,51,16
30006,ONCOLOGY CLL DECILE GROUP,High,1,99,11
30051,ONCOLOGY CLL DECILE GROUP,High,2,371,2
30160,ONCOLOGY CLL DECILE GROUP,High,6,207,4
30413,ONCOLOGY CLL DECILE GROUP,High,64,99,7
30926,ONCOLOGY CLL DECILE GROUP,High,0,111,6
32379,ONCOLOGY CLL DECILE GROUP,High,0,135,6
32748,ONCOLOGY CLL DECILE GROUP,High,0,70,7
32830,ONCOLOGY CLL DECILE GROUP,High,11,137,10
33284,ONCOLOGY CLL DECILE GROUP,High,0,45,16
33315,ONCOLOGY CLL DECILE GROUP,High,0,23,1
33635,ONCOLOGY CLL DECILE GROUP,High,1,102,12
35118,ONCOLOGY CLL DECILE GROUP,High,6,41,12
35889,ONCOLOGY CLL DECILE GROUP,High,24,0,17
39475,ONCOLOGY CLL DECILE GROUP,High,14,177,13
41279,ONCOLOGY CLL DECILE GROUP,High,0,17,1
41371,ONCOLOGY CLL DECILE GROUP,High,0,196,32
44574,ONCOLOGY CLL DECILE GROUP,High,2,409,4
45994,ONCOLOGY CLL DECILE GROUP,High,0,236,3
47011,ONCOLOGY CLL DECILE GROUP,High,3,162,16
47448,ONCOLOGY CLL DECILE GROUP,High,43,80,7
47501,ONCOLOGY CLL DECILE GROUP,High,9,0,9
48463,ONCOLOGY CLL DECILE GROUP,High,24,928,4
49006,ONCOLOGY CLL DECILE GROUP,High,0,333,0
50885,ONCOLOGY CLL DECILE GROUP,High,1,81,9
53437,ONCOLOGY CLL DECILE GROUP,High,5,241,3
55095,ONCOLOGY CLL DECILE GROUP,High,17,676,3
55664,ONCOLOGY CLL DECILE GROUP,High,0,100,5
56107,ONCOLOGY CLL DECILE GROUP,High,0,0,7
57083,ONCOLOGY CLL DECILE GROUP,High,0,192,7
59437,ONCOLOGY CLL DECILE GROUP,High,8,132,1
60362,ONCOLOGY CLL DECILE GROUP,High,0,140,6
60539,ONCOLOGY CLL DECILE GROUP,High,2,212,7
60851,ONCOLOGY CLL DECILE GROUP,High,1,47,5
61526,ONCOLOGY CLL DECILE GROUP,High,0,0,2
62141,ONCOLOGY CLL DECILE GROUP,High,10,0,4
62893,ONCOLOGY CLL DECILE GROUP,High,0,18,1
63884,ONCOLOGY CLL DECILE GROUP,High,1,602,2
66142,ONCOLOGY CLL DECILE GROUP,High,17,97,10
67118,ONCOLOGY CLL DECILE GROUP,High,0,67,4
913502,ONCOLOGY CLL DECILE GROUP,High,9,33,11
67173,ONCOLOGY CLL DECILE GROUP,High,11,142,5
913512,ONCOLOGY CLL DECILE GROUP,High,12,107,6
913554,ONCOLOGY CLL DECILE GROUP,High,48,144,22
913683,ONCOLOGY CLL DECILE GROUP,High,4,291,4
913828,ONCOLOGY CLL DECILE GROUP,High,7,94,14
69648,ONCOLOGY CLL DECILE GROUP,High,0,0,0
70271,ONCOLOGY CLL DECILE GROUP,High,1,360,5
18915,ONCOLOGY CLL DECILE GROUP,High,1,88,3
71829,ONCOLOGY CLL DECILE GROUP,High,18,398,12
78903,ONCOLOGY CLL DECILE GROUP,High,35,245,6
79129,ONCOLOGY CLL DECILE GROUP,High,0,30,0
79723,ONCOLOGY CLL DECILE GROUP,High,13,252,9
79735,ONCOLOGY CLL DECILE GROUP,High,34,266,12
72774,ONCOLOGY CLL DECILE GROUP,High,2,683,1
72882,ONCOLOGY CLL DECILE GROUP,High,0,18,8
80271,ONCOLOGY CLL DECILE GROUP,High,21,43,17
80281,ONCOLOGY CLL DECILE GROUP,High,1,327,2
80530,ONCOLOGY CLL DECILE GROUP,High,16,129,3
